timestamp,mmsi,name,shiptype,latlon,richting,lengte,breedte
2025-12-10 16:24:53,211285050,MAIN,Vrachtschip,"51.95828, 5.65208",opvaart,105,11
2025-12-10 16:25:09,244660931,ALEXANDRA,Vrachtschip,"51.82058, 6.25647",afvaart,135,14
2025-12-10 16:31:23,211510940,GRENDEL,Tanker,"51.82720, 6.22056",opvaart,110,12
2025-12-10 16:39:14,244210279,EXCELSIOR,Onbekend,"51.85043, 6.14085",afvaart,135,13
2025-12-10 16:41:52,244690351,AMICITAS,Vrachtschip,"51.86326, 5.91092",afvaart,65,7
2025-12-10 16:44:40,244078810,,,"51.85354, 6.08770",afvaart,,
2025-12-10 16:45:20,244670263,W.DE BEIJER SR.,Vrachtschip,"51.89759, 5.64874",afvaart,172,12
2025-12-10 16:53:47,244670460,,,"51.86438, 5.98382",opvaart,,
2025-12-10 16:55:01,244002553,SEDULO,Vrachtschip,"51.83060, 6.19780",opvaart,79,9
2025-12-10 16:55:27,244650842,SELA,Onbekend,"51.87612, 6.03641",opvaart,80,9
2025-12-10 17:03:56,244770588,PIETERNELLA,Vrachtschip,"51.90339, 6.00723",opvaart,75,8
2025-12-10 17:05:08,244690071,RANGER,Vrachtschip,"51.86662, 6.06353",opvaart,110,12
2025-12-10 17:10:55,211234090,,,"51.87925, 5.98768",opvaart,,
2025-12-10 17:11:46,244770459,PALERMO,Onbekend,"51.93138, 5.96466",opvaart,105,11
2025-12-10 17:13:25,211590200,KAAIMAN,Tanker,"51.86550, 5.98548",opvaart,110,12
2025-12-10 17:14:25,205442290,TARSIS,Tanker,"51.82416, 6.22599",opvaart,85,10
2025-12-10 17:17:55,244660723,ARDITO,Vrachtschip,"51.86295, 5.98408",opvaart,187,23
2025-12-10 17:18:12,244690685,ZEPHYR,Onbekend,"51.86823, 5.98279",opvaart,171,11
2025-12-10 17:21:46,244010304,FUNDAMENT,Vrachtschip,"51.85651, 5.83762",afvaart,85,8
2025-12-10 17:28:37,244670453,,,"51.86243, 5.98393",opvaart,,
2025-12-10 17:29:41,244660202,RES/RES 2,Onbekend,"51.82791, 6.21115",opvaart,175,12
2025-12-10 17:30:33,244078721,VARIATIE,Onbekend,"51.85850, 6.09050",opvaart,81,
2025-12-10 17:34:44,211882550,,,"51.86245, 6.06722",afvaart,,
2025-12-10 17:39:23,205530390,,,"51.85406, 6.08719",afvaart,,
2025-12-10 17:42:40,244630251,SALVA,Vrachtschip,"51.86269, 5.98384",opvaart,110,12
2025-12-10 17:55:02,244690982,ELUNDA,Vrachtschip,"51.89650, 5.67049",afvaart,190,12
2025-12-10 17:58:12,244700794,NERODIA,Tanker,"51.84111, 6.16085",opvaart,135,12
2025-12-10 18:00:06,253242471,HERKULES VIII,Onbekend,"51.85233, 6.09115",opvaart,,
2025-12-10 18:04:24,244710413,,,"51.85424, 6.08728",afvaart,,
