snapshot_ts_utc,MMSI,NAME,CALLSIGN,IMO,TYPE,NAVSTAT,LATITUDE,LONGITUDE,SOG,COG,HEADING,ROT,A,B,C,D,DRAUGHT,DEST,ETA,TIME
2026-01-12T19:18:50.969647+00:00,244860869,DAME BLANCHE,PD4194,0,37,15,51.87126,4.23552,0,360,511,128,3,6,1,2,0,,00-00 00:00,2026-01-12 19:05:01 GMT
2026-01-12T19:18:50.969647+00:00,244660297,MICHIGAN,PE8826,0,79,5,51.95081,4.07308,0,313.8,511,128,125,10,9,6,0,KOLN  CTS KOELN,01-14 11:27,2026-01-12 19:10:51 GMT
2026-01-12T19:18:50.969647+00:00,244039989,RV176,PG7944,0,37,15,51.97368,5.43087,0,360,511,128,8,8,3,1,0,,00-00 00:00,2026-01-12 19:14:14 GMT
2026-01-12T19:18:50.969647+00:00,248880000,SCENIC PEARL,9HA2560,0,69,5,51.96311,5.93914,0,6.1,340,0,8,127,7,5,1.8,ARNHEM,12-13 04:00,2026-01-12 19:13:21 GMT
2026-01-12T19:18:50.969647+00:00,211417530,FINN-LUCAS DEYMANN,DJ7574,0,79,5,51.8974,5.60008,0,21,511,128,95,15,6,6,0.3,DRUTEN,00-00 24:60,2026-01-12 19:14:33 GMT
2026-01-12T19:18:50.969647+00:00,244750307,ARCHIPEL,PE3490,0,79,0,51.89964,6.01711,7.8,134.8,136,0,71,15,6,5,0,PANNERDENSE KOP,01-12 19:29,2026-01-12 19:15:45 GMT
2026-01-12T19:18:50.969647+00:00,219027776,SCANDIA SEAWAYS,OYEJ2,9864681,70,0,51.90448,4.36228,0,40.5,169,0,162,76,16,17,7,IMM-VLA-IMM,01-13 06:45,2026-01-12 19:15:28 GMT
2026-01-12T19:18:50.969647+00:00,244700123,SMIT WAALHAVEN 4,PD9721,0,52,5,51.88333,4.45183,0,103.4,196,0,20,15,5,5,2.1,ROTTERDAM,10-04 14:30,2026-01-12 19:15:01 GMT
2026-01-12T19:18:50.969647+00:00,246756000,SC FLASH,PCIO,0,53,0,51.91779,4.24897,0,359.7,511,128,0,0,0,0,0.8,MAASSLUIS NLD,08-05 11:00,2026-01-12 19:15:30 GMT
2026-01-12T19:18:50.969647+00:00,244710664,AMIGO,PH3673,0,52,5,51.89653,5.59934,0.1,360,511,128,0,0,0,0,0,DRUTEN,00-00 00:00,2026-01-12 19:15:13 GMT
